cell_id,cell_id,level1class,n_genes_by_counts,total_counts,label,n_genes,total_counts_mt,pct_counts_mt
1772071015_C02,1772071015_C02,interneurons,4848,21580.0,interneurons,4848,0.0,0.0
1772071017_G12,1772071017_G12,interneurons,4684,21747.0,interneurons,4685,0.0,0.0
1772071017_A05,1772071017_A05,interneurons,6026,31640.0,interneurons,6028,0.0,0.0
1772071014_B06,1772071014_B06,interneurons,5824,32914.0,interneurons,5824,0.0,0.0
1772067065_H06,1772067065_H06,interneurons,4700,21528.0,interneurons,4701,0.0,0.0
1772071017_E02,1772071017_E02,interneurons,5405,24794.0,interneurons,5408,0.0,0.0
1772067065_B07,1772067065_B07,interneurons,6243,31404.0,interneurons,6244,0.0,0.0
1772067060_B09,1772067060_B09,interneurons,5728,20379.0,interneurons,5734,0.0,0.0
1772071014_E04,1772071014_E04,interneurons,5259,23021.0,interneurons,5259,0.0,0.0
1772071015_D04,1772071015_D04,interneurons,5502,24182.0,interneurons,5503,0.0,0.0
1772071015_C11,1772071015_C11,interneurons,5125,19423.0,interneurons,5125,0.0,0.0
1772071017_D04,1772071017_D04,interneurons,6106,30639.0,interneurons,6106,0.0,0.0
1772071017_D06,1772071017_D06,interneurons,6617,33673.0,interneurons,6617,0.0,0.0
1772067082_D07,1772067082_D07,interneurons,5644,22510.0,interneurons,5647,0.0,0.0
1772071017_F09,1772071017_F09,interneurons,6356,36051.0,interneurons,6356,0.0,0.0
1772071017_A09,1772071017_A09,interneurons,6882,41436.0,interneurons,6883,0.0,0.0
1772067094_C05,1772067094_C05,interneurons,4801,28534.0,interneurons,4801,0.0,0.0
1772067059_B06,1772067059_B06,interneurons,6990,34216.0,interneurons,6990,0.0,0.0
1772067096_E05,1772067096_E05,interneurons,6470,29657.0,interneurons,6470,0.0,0.0
1772066089_C05,1772066089_C05,interneurons,5296,16603.0,interneurons,5296,0.0,0.0
1772067094_F04,1772067094_F04,interneurons,4359,23827.0,interneurons,4359,0.0,0.0
1772071045_A01,1772071045_A01,interneurons,4550,16182.0,interneurons,4550,0.0,0.0
1772071015_C08,1772071015_C08,interneurons,5229,22035.0,interneurons,5229,0.0,0.0
1772071045_D06,1772071045_D06,interneurons,4938,17666.0,interneurons,4938,0.0,0.0
1772071017_A03,1772071017_A03,interneurons,7645,42452.0,interneurons,7645,0.0,0.0
1772071017_F07,1772071017_F07,interneurons,7000,37863.0,interneurons,7000,0.0,0.0
1772071017_E06,1772071017_E06,interneurons,6455,33711.0,interneurons,6457,0.0,0.0
1772067066_C10,1772067066_C10,interneurons,4187,18417.0,interneurons,4189,0.0,0.0
1772071017_B05,1772071017_B05,interneurons,5980,24451.0,interneurons,5984,0.0,0.0
1772071014_E06,1772071014_E06,interneurons,6550,36266.0,interneurons,6550,0.0,0.0
1772067058_D11,1772067058_D11,interneurons,7404,43675.0,interneurons,7404,0.0,0.0
1772071014_B04,1772071014_B04,interneurons,5369,19034.0,interneurons,5369,0.0,0.0
1772067066_B09,1772067066_B09,interneurons,5820,25722.0,interneurons,5820,0.0,0.0
1772071017_E10,1772071017_E10,interneurons,4173,14859.0,interneurons,4173,0.0,0.0
